19:39:38.907401 ARP, Request who-has 192.168.6.134 (Broadcast) tell 192.168.6.131, length 46
19:39:38.907707 ARP, Reply 192.168.6.134 is-at 00:0c:29:f6:f6:c8 (oui Unknown), length 46
19:39:39.107895 IP 192.168.6.131.49109 > 192.168.6.2.domain: 57171+ PTR? 134.6.168.192.in-addr.arpa. (44)
19:39:39.149922 IP 192.168.6.2.domain > 192.168.6.131.49109: 57171 NXDomain 0/1/0 (103)
19:39:39.151047 IP 192.168.6.131.64374 > 192.168.6.134.ftp: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:39.151130 IP 192.168.6.131.64374 > 192.168.6.134.8888: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:39.151137 IP 192.168.6.131.64374 > 192.168.6.134.5900: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:39.151166 IP 192.168.6.131.64374 > 192.168.6.134.1720: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:39.151198 IP 192.168.6.131.64374 > 192.168.6.134.3389: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:39.151230 IP 192.168.6.131.64374 > 192.168.6.134.auth: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:39.151418 IP 192.168.6.131.64374 > 192.168.6.134.ssh: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:39.151440 IP 192.168.6.131.64374 > 192.168.6.134.microsoft-ds: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:39.151458 IP 192.168.6.131.64374 > 192.168.6.134.imaps: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:39.151474 IP 192.168.6.131.64374 > 192.168.6.134.mysql: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:39.151556 IP 192.168.6.134.ftp > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:39.151607 IP 192.168.6.134.ssh > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:39.151849 IP 192.168.6.134.microsoft-ds > 192.168.6.131.64374: Flags [S.], seq 452950567, ack 3226867485, win 64240, options [mss 1460], length 0
19:39:39.151905 IP 192.168.6.134.imaps > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:39.151926 IP 192.168.6.134.mysql > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:39.151958 IP 192.168.6.134.8888 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:39.151989 IP 192.168.6.134.5900 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:39.152045 IP 192.168.6.134.1720 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:39.152063 IP 192.168.6.134.3389 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:39.152081 IP 192.168.6.134.auth > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:39.152112 IP 192.168.6.131.64374 > 192.168.6.134.microsoft-ds: Flags [R], seq 3226867485, win 0, length 0
19:39:40.254067 IP 192.168.6.131.64375 > 192.168.6.134.mysql: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.254140 IP 192.168.6.131.64375 > 192.168.6.134.imaps: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.254239 IP 192.168.6.134.mysql > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.254281 IP 192.168.6.134.imaps > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
